sample,xs
Axial_MonoJ_NLO_Mphi-750_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.001511
Axial_MonoJ_NLO_Mphi-750_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,1.055
Axial_MonoJ_NLO_Mphi-750_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,3.158
Axial_MonoJ_NLO_Mphi-500_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.002877
Axial_MonoJ_NLO_Mphi-500_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03955
Axial_MonoJ_NLO_Mphi-500_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,3.657
Axial_MonoJ_NLO_Mphi-500_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,10.32
Axial_MonoJ_NLO_Mphi-500_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,6.945
Axial_MonoJ_NLO_Mphi-300_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.00646
Axial_MonoJ_NLO_Mphi-300_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.02134
Axial_MonoJ_NLO_Mphi-300_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,35.2
Axial_MonoJ_NLO_Mphi-300_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,21.26
Axial_MonoJ_NLO_Mphi-2250_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.02935
Axial_MonoJ_NLO_Mphi-2250_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03167
Axial_MonoJ_NLO_Mphi-2250_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03561
Axial_MonoJ_NLO_Mphi-2250_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03403
Axial_MonoJ_NLO_Mphi-2000_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.05322
Axial_MonoJ_NLO_Mphi-2000_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.05865
Axial_MonoJ_NLO_Mphi-2000_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06143
Axial_MonoJ_NLO_Mphi-2000_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06431
Axial_MonoJ_NLO_Mphi-2000_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06188
Axial_MonoJ_NLO_Mphi-2000_Mchi-10_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06513
Axial_MonoJ_NLO_Mphi-2000_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06415
Axial_MonoJ_NLO_Mphi-1750_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.08029
Axial_MonoJ_NLO_Mphi-1750_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1057
Axial_MonoJ_NLO_Mphi-1750_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1156
Axial_MonoJ_NLO_Mphi-1750_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1219
Axial_MonoJ_NLO_Mphi-1750_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1165
Axial_MonoJ_NLO_Mphi-1750_Mchi-10_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1234
Axial_MonoJ_NLO_Mphi-1750_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,0.12
Axial_MonoJ_NLO_Mphi-1500_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.07857
Axial_MonoJ_NLO_Mphi-1500_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.2015
Axial_MonoJ_NLO_Mphi-1500_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.247
Axial_MonoJ_NLO_Mphi-100_Mchi-40_gSM-0p25_gDM-1p0_13TeV-madgraph,61.9
Axial_MonoJ_NLO_Mphi-100_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.0678
Axial_MonoJ_NLO_Mphi-100_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,159.8
Axial_MonoJ_NLO_Mphi-1000_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.002603
Axial_MonoJ_NLO_Mphi-1000_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.7826
Axial_MonoJ_NLO_Mphi-1000_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,1.177
Vector_MonoJ_NLO_Mphi-1000_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,1.134
Vector_MonoJ_NLO_Mphi-1000_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,1.059
Vector_MonoJ_NLO_Mphi-1000_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.9262
Vector_MonoJ_NLO_Mphi-1000_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.01237
Vector_MonoJ_NLO_Mphi-100_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,154.6
Vector_MonoJ_NLO_Mphi-100_Mchi-40_gSM-0p25_gDM-1p0_13TeV-madgraph,129.8
Vector_MonoJ_NLO_Mphi-1500_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.2341
Vector_MonoJ_NLO_Mphi-1500_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.2322
Vector_MonoJ_NLO_Mphi-1500_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1881
Vector_MonoJ_NLO_Mphi-1750_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1196
Vector_MonoJ_NLO_Mphi-1750_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1195
Vector_MonoJ_NLO_Mphi-1750_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1197
Vector_MonoJ_NLO_Mphi-1750_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1165
Vector_MonoJ_NLO_Mphi-1750_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1143
Vector_MonoJ_NLO_Mphi-1750_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1088
Vector_MonoJ_NLO_Mphi-2000_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06326
Vector_MonoJ_NLO_Mphi-2000_Mchi-10_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06269
Vector_MonoJ_NLO_Mphi-2000_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.0627
Vector_MonoJ_NLO_Mphi-2000_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06386
Vector_MonoJ_NLO_Mphi-2000_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06317
Vector_MonoJ_NLO_Mphi-2000_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06194
Vector_MonoJ_NLO_Mphi-2000_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06041
Vector_MonoJ_NLO_Mphi-2000_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.05889
Vector_MonoJ_NLO_Mphi-2250_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03453
Vector_MonoJ_NLO_Mphi-2250_Mchi-10_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03483
Vector_MonoJ_NLO_Mphi-2250_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03416
Vector_MonoJ_NLO_Mphi-2250_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,0.0342
Vector_MonoJ_NLO_Mphi-2250_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03411
Vector_MonoJ_NLO_Mphi-2250_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03334
Vector_MonoJ_NLO_Mphi-2250_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.03248
Vector_MonoJ_NLO_Mphi-300_Mchi-100_gSM-0p25_gDM-1p0_13TeV-madgraph,32.37
Vector_MonoJ_NLO_Mphi-300_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,34.37
Vector_MonoJ_NLO_Mphi-300_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.06371
Vector_MonoJ_NLO_Mphi-300_Mchi-400_gSM-0p25_gDM-1p0_13TeV-madgraph,0.02006
Vector_MonoJ_NLO_Mphi-500_Mchi-150_gSM-0p25_gDM-1p0_13TeV-madgraph,9.183
Vector_MonoJ_NLO_Mphi-500_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,9.449
Vector_MonoJ_NLO_Mphi-500_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph,8.11
Vector_MonoJ_NLO_Mphi-500_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph,0.1552
Vector_MonoJ_NLO_Mphi-500_Mchi-500_gSM-0p25_gDM-1p0_13TeV-madgraph,0.009965
Vector_MonoJ_NLO_Mphi-750_Mchi-1_gSM-0p25_gDM-1p0_13TeV-madgraph,2.943
Vector_MonoJ_NLO_Mphi-750_Mchi-600_gSM-0p25_gDM-1p0_13TeV-madgraph,0.005797
Scalar_MonoJ_NLO_Mphi-50_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.03555
Scalar_MonoJ_NLO_Mphi-750_Mchi-350_gSM-1p0_gDM-1p0_13TeV-madgraph,0.00562
Scalar_MonoJ_NLO_Mphi-500_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.3505
Scalar_MonoJ_NLO_Mphi-50_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph,2.774
Scalar_MonoJ_NLO_Mphi-500_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.3611
Scalar_MonoJ_NLO_Mphi-500_Mchi-200_gSM-1p0_gDM-1p0_13TeV-madgraph,0.16
Scalar_MonoJ_NLO_Mphi-400_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.7557
Scalar_MonoJ_NLO_Mphi-500_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,0.3292
Scalar_MonoJ_NLO_Mphi-400_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,0.705
Scalar_MonoJ_NLO_Mphi-400_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.786
Scalar_MonoJ_NLO_Mphi-350_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.9484
Scalar_MonoJ_NLO_Mphi-350_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.9349
Scalar_MonoJ_NLO_Mphi-300_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.9438
Scalar_MonoJ_NLO_Mphi-350_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,0.9463
Scalar_MonoJ_NLO_Mphi-20_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,3.064
Scalar_MonoJ_NLO_Mphi-300_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,0.9348
Scalar_MonoJ_NLO_Mphi-200_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,1.307
Scalar_MonoJ_NLO_Mphi-20_Mchi-0_gSM-1p0_gDM-1p0_13TeV-madgraph,2.987
Scalar_MonoJ_NLO_Mphi-10_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.03225
Scalar_MonoJ_NLO_Mphi-200_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,1.312
Scalar_MonoJ_NLO_Mphi-10_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph,0.1301
Scalar_MonoJ_NLO_Mphi-10_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,3.119
Scalar_MonoJ_NLO_Mphi-100_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,2.144
Scalar_MonoJ_NLO_Mphi-100_Mchi-40_gSM-1p0_gDM-1p0_13TeV-madgraph,2.185
Scalar_MonoJ_NLO_Mphi-1000_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.0157
Scalar_MonoJ_NLO_Mphi-100_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph,2.182
Pseudo_MonoJ_NLO_Mphi-50_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.132
Pseudo_MonoJ_NLO_Mphi-750_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.08724
Pseudo_MonoJ_NLO_Mphi-500_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.564
Pseudo_MonoJ_NLO_Mphi-50_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph,6.302
Pseudo_MonoJ_NLO_Mphi-500_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,0.5489
Pseudo_MonoJ_NLO_Mphi-500_Mchi-200_gSM-1p0_gDM-1p0_13TeV-madgraph,0.3982
Pseudo_MonoJ_NLO_Mphi-400_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,1.498
Pseudo_MonoJ_NLO_Mphi-400_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,1.598
Pseudo_MonoJ_NLO_Mphi-350_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,3.211
Pseudo_MonoJ_NLO_Mphi-350_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,3.22
Pseudo_MonoJ_NLO_Mphi-300_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,2.798
Pseudo_MonoJ_NLO_Mphi-350_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,3.145
Pseudo_MonoJ_NLO_Mphi-300_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph,2.802
Pseudo_MonoJ_NLO_Mphi-300_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,2.826
Pseudo_MonoJ_NLO_Mphi-20_Mchi-0_gSM-1p0_gDM-1p0_13TeV-madgraph,6.973
Pseudo_MonoJ_NLO_Mphi-20_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,6.94
Pseudo_MonoJ_NLO_Mphi-200_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,3.254
Pseudo_MonoJ_NLO_Mphi-200_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,3.24
Pseudo_MonoJ_NLO_Mphi-10_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,7.067
Pseudo_MonoJ_NLO_Mphi-10_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph,0.1145
Pseudo_MonoJ_NLO_Mphi-100_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph,4.991
Pseudo_MonoJ_NLO_Mphi-100_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,5.089
Pseudo_MonoJ_NLO_Mphi-1000_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph,0.01074
Pseudo_MonoJ_NLO_Mphi-1000_Mchi-350_gSM-1p0_gDM-1p0_13TeV-madgraph,0.014
