variable,ttHbb,ttHnonbb,ttmb,tt2b,ttcc,ttlf,tHq,tHW
memDBp,0.083,0.101,0.119,0.098,0.134,0.094,0.088,0.092
Evt_Deta_JetsAverage,0.163,0.189,0.103,0.081,0.036,0.027,0.073,0.040
Evt_M_TaggedJetsAverage,0.070,0.057,0.065,0.186,0.038,0.063,0.065,0.096
Evt_CSV_avg,0.085,0.064,0.123,0.147,0.239,0.119,0.081,0.036
Evt_blr_transformed,0.180,0.082,0.064,0.045,0.182,0.189,0.060,0.115
N_Jets,0.213,0.294,0.265,0.258,0.084,0.174,0.398,0.119
Reco_ttbar_toplep_m,0.078,0.084,0.110,0.055,0.096,0.127,0.023,0.234
Reco_ttbar_whad_m,0.064,0.059,0.093,0.066,0.101,0.142,0.093,0.198
Reco_JABDT_ttH_Jet_CSV_btoplep,0.029,0.038,0.019,0.020,0.023,0.020,0.034,0.027
Reco_JABDT_tHW_log_wb_m,0.035,0.032,0.040,0.043,0.068,0.045,0.084,0.043