variable,ttHbb_STXS_0,ttHbb_STXS_1,ttHbb_STXS_2,ttHbb_STXS_3,ttHbb_STXS_4
memDBp,0.021,0.013,0.011,0.017,0.019
Reco_tHq_h_pt,0.073,0.089,0.076,0.093,0.078
Reco_tHq_h_dr,0.032,0.043,0.065,0.065,0.052
Reco_JABDT_tHq_log_h_pt,0.075,0.087,0.076,0.075,0.083
Reco_JABDT_tHq_log_min_hdau1_pt_hdau2_pt,0.033,0.028,0.032,0.027,0.023
Reco_tHW_h_pt,0.115,0.137,0.120,0.137,0.122
Reco_tHW_h_dr,0.028,0.036,0.047,0.049,0.049
Reco_JABDT_tHW_log_h_pt,0.116,0.120,0.107,0.100,0.111
Reco_ttH_h_dr,0.060,0.094,0.078,0.054,0.046
Reco_ttH_h_m,0.026,0.033,0.045,0.063,0.058
Reco_JABDT_ttH_log_h_pt,0.068,0.108,0.141,0.141,0.160
Reco_JABDT_ttH_log_toplep_m,0.013,0.010,0.009,0.010,0.013
Evt_Pt_TaggedJetsAverage,0.179,0.096,0.091,0.064,0.067
Evt_Dr_TaggedJetsAverage,0.037,0.018,0.020,0.015,0.017
Evt_M_TaggedJetsAverage,0.063,0.042,0.040,0.033,0.042
Evt_Pt_minDrTaggedJets,0.019,0.023,0.020,0.031,0.034
Evt_Pt_JetsAverage,0.043,0.023,0.022,0.028,0.027