Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttH_PTH_0_60,ttH_PTH_60_120,ttH_PTH_120_200,ttH_PTH_200_300,ttH_PTH_300_450,ttH_PTH_GT450,ttH_hbb,ttH_hnonbb,ttH_hcc,ttH_htt,ttH_hgg,ttH_hgluglu,ttH_hww,ttH_hzz,ttH_hzg,ttlf,ttbb,ttbb_SL,ttbb_DL,ttbb_5FS,ttbb_split,ttb,tt2b,ttcc,singlet,tHW,tHW_hbb,tHW_hcc,tHW_htt,tHW_hgg,tHW_hgluglu,tHW_hww,tHW_hzz,tHW_hzg,tHW_hnonbb,tHq,tHq_hbb,tHq_hcc,tHq_htt,tHq_hgg,tHq_hgluglu,tHq_hww,tHq_hzz,tHq_hzg,tHq_hnonbb,zjets,wjets,ttbarW,ttbarZ,diboson,ttH_PTH_0_60_hbb,ttH_PTH_0_60_hcc,ttH_PTH_0_60_htt,ttH_PTH_0_60_hgg,ttH_PTH_0_60_hgluglu,ttH_PTH_0_60_hww,ttH_PTH_0_60_hzz,ttH_PTH_0_60_hzg,ttH_PTH_60_120_hbb,ttH_PTH_60_120_hcc,ttH_PTH_60_120_htt,ttH_PTH_60_120_hgg,ttH_PTH_60_120_hgluglu,ttH_PTH_60_120_hww,ttH_PTH_60_120_hzz,ttH_PTH_60_120_hzg,ttH_PTH_120_200_hbb,ttH_PTH_120_200_hcc,ttH_PTH_120_200_htt,ttH_PTH_120_200_hgg,ttH_PTH_120_200_hgluglu,ttH_PTH_120_200_hww,ttH_PTH_120_200_hzz,ttH_PTH_120_200_hzg,ttH_PTH_200_300_hbb,ttH_PTH_200_300_hcc,ttH_PTH_200_300_htt,ttH_PTH_200_300_hgg,ttH_PTH_200_300_hgluglu,ttH_PTH_200_300_hww,ttH_PTH_200_300_hzz,ttH_PTH_200_300_hzg,ttH_PTH_300_450_hbb,ttH_PTH_300_450_hcc,ttH_PTH_300_450_htt,ttH_PTH_300_450_hgg,ttH_PTH_300_450_hgluglu,ttH_PTH_300_450_hww,ttH_PTH_300_450_hzz,ttH_PTH_300_450_hzg,ttH_PTH_GT450_hbb,ttH_PTH_GT450_hcc,ttH_PTH_GT450_htt,ttH_PTH_GT450_hgg,ttH_PTH_GT450_hgluglu,ttH_PTH_GT450_hww,ttH_PTH_GT450_hzz,ttH_PTH_GT450_hzg
CMS_ttHbb_L1PreFiring_2017,shape,weight,"""dummyWeight_L1PreFiringUp:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(Weight_L1ECALPrefireUp/Weight_L1ECALPrefire))*DOWEIGHTS""","""dummyWeight_L1PreFiringDown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(Weight_L1ECALPrefireDown/Weight_L1ECALPrefire))*DOWEIGHTS""",-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,rate,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
QCDscale_ttH,lnN,rate,-,-,-,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058
QCDscale_tHq,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,0.851/1.065,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_tHW,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,0.933/1.049,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_ttbar,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,-,,,,,,,,,,,,,,,,,,,,,,,0.836/1.255,0.907/1.081,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_singlet,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.979/1.031,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_V,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,1.02,1.038,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QCDscale_VV,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_Higgs_ttH,lnN,rate,-,-,-,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036
pdf_Higgs_tHq,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_Higgs_tHW,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063,1.063,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_gg,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.042,1.042,1.042,1.042,1.042,1.042,1.042,1.042,1.042,-,,,,,,,,,,,,,,,,,,,,,,,,1.035,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_qqbar,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,1.002,0.996/1.008,1.036,,1.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pdf_qg,lnN,rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_effTrigger_m_2017,shape,weight,"""dummyWeight_CMS_ttH_effTrigger_muUp:=DEFAULTWEIGHT*LEPTONSFS*MUTRIGSUP*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_effTrigger_muDown:=DEFAULTWEIGHT*LEPTONSFS*MUTRIGSDOWN*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_effTrigger_e_2017,shape,weight,"""dummyWeight_CMS_ttH_effTrigger_elUp:=DEFAULTWEIGHT*LEPTONSFS*ELETRIGSUP*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_effTrigger_elDown:=DEFAULTWEIGHT*LEPTONSFS*ELETRIGSDOWN*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_eff_m_2017,shape,weight,"""dummyWeight_CMS_ttH_eff_muUp:=DEFAULTWEIGHT*MUSFUP*TRIGGERSFS*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_eff_muDown:=DEFAULTWEIGHT*MUSFDOWN*TRIGGERSFS*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_eff_e_2017,shape,weight,"""dummyWeight_CMS_ttH_eff_elUp:=DEFAULTWEIGHT*ELESFUP*TRIGGERSFS*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_eff_elDown:=DEFAULTWEIGHT*ELESFDOWN*TRIGGERSFS*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_btag_lf,shape,weight,"""dummyWeight_CSVLFup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFUp)*DOWEIGHTS""","""dummyWeight_CSVLFdown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFDown)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_hf,shape,weight,"""dummyWeight_CSVHFup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFUp)*DOWEIGHTS""","""dummyWeight_CSVHFdown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFDown)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_hfstats1_2017,shape,weight,"""dummyWeight_CSVHFStats1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats1Up)*DOWEIGHTS""","""dummyWeight_CSVHFStats1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_lfstats1_2017,shape,weight,"""dummyWeight_CSVLFStats1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats1Up)*DOWEIGHTS""","""dummyWeight_CSVLFStats1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_hfstats2_2017,shape,weight,"""dummyWeight_CSVHFStats2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats2Up)*DOWEIGHTS""","""dummyWeight_CSVHFStats2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_lfstats2_2017,shape,weight,"""dummyWeight_CSVLFStats2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats2Up)*DOWEIGHTS""","""dummyWeight_CSVLFStats2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_cferr1,shape,weight,"""dummyWeight_CSVCErr1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr1Up)*DOWEIGHTS""","""dummyWeight_CSVCErr1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_btag_cferr2,shape,weight,"""dummyWeight_CSVCErr2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr2Up)*DOWEIGHTS""","""dummyWeight_CSVCErr2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_tt2b_glusplit,shape,weight,"""dummyWeight_CMS_ttHbb_tt2bAcceptanceup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(1+(GenEvt_I_TTPlusBB==2)*0.5))*DOWEIGHTS""","""dummyWeight_CMS_ttHbb_tt2bAcceptance:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(1-(GenEvt_I_TTPlusBB==2)*0.5))*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
