Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttlf,ttbb,ttbb_5FS,ttcc,ttZ,ttZ_noZ,ttZ_falseZ,ttZ_Zbb,ttZ_Zqq,ttZ_Znonbb,ttH_noH,ttH_falseH,ttH_Hnonbb,ttH_Hbb
L1Prefire,lnN,rate,,,,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994,1.006/0.994
lumi_13TeV,lnN,rate,-,-,-,x,x,x,x,x,,,,,,,x,x,x,x
QCDscale_ttH,lnN,rate,-,-,-,0.908/1.058,-,-,-,-,,,,,,,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058
QCDscale_ttZ,lnN,rate,-,-,-,,-,-,-,-,0.907/1.081,0.907/1.081,0.907/1.081,0.907/1.081,0.907/1.081,0.907/1.081,,,,
QCDscale_ttbar,lnN,rate,-,-,-,-,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,,,,,,,-,-,-,-
pdf_alphaS_ttH,lnN,rate,-,-,-,1.036,-,-,-,-,,,,,,,1.036,1.036,1.036,1.036
pdf_alphaS_ttZ,lnN,rate,-,-,-,,-,-,-,-,1.035,1.035,1.035,1.035,1.035,1.035,,,,
pdf_alphaS_ttbar,lnN,rate,-,-,-,-,1.042,1.042,1.042,1.042,,,,,,,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,
effTrigger_m,shape,weight,"""dummyWeight_CMS_ttH_effTrigger_muUp:=DEFAULTWEIGHT*LEPTONSFS*MUTRIGSUP*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_effTrigger_muDown:=DEFAULTWEIGHT*LEPTONSFS*MUTRIGSDOWN*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
effTrigger_e,shape,weight,"""dummyWeight_CMS_ttH_effTrigger_elUp:=DEFAULTWEIGHT*LEPTONSFS*ELETRIGSUP*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_effTrigger_elDown:=DEFAULTWEIGHT*LEPTONSFS*ELETRIGSDOWN*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eff_m,shape,weight,"""dummyWeight_CMS_ttH_eff_muUp:=DEFAULTWEIGHT*MUSFUP*TRIGGERSFS*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_eff_muDown:=DEFAULTWEIGHT*MUSFDOWN*TRIGGERSFS*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eff_e,shape,weight,"""dummyWeight_CMS_ttH_eff_elUp:=DEFAULTWEIGHT*ELESFUP*TRIGGERSFS*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_eff_elDown:=DEFAULTWEIGHT*ELESFDOWN*TRIGGERSFS*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,
btag_lf,shape,weight,"""dummyWeight_CSVLFup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFUp)*DOWEIGHTS""","""dummyWeight_CSVLFdown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFDown)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_hf,shape,weight,"""dummyWeight_CSVHFup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFUp)*DOWEIGHTS""","""dummyWeight_CSVHFdown:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFDown)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_hfstats1,shape,weight,"""dummyWeight_CSVHFStats1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats1Up)*DOWEIGHTS""","""dummyWeight_CSVHFStats1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_lfstats1,shape,weight,"""dummyWeight_CSVLFStats1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats1Up)*DOWEIGHTS""","""dummyWeight_CSVLFStats1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_hfstats2,shape,weight,"""dummyWeight_CSVHFStats2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats2Up)*DOWEIGHTS""","""dummyWeight_CSVHFStats2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVHFStats2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_lfstats2,shape,weight,"""dummyWeight_CSVLFStats2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats2Up)*DOWEIGHTS""","""dummyWeight_CSVLFStats2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVLFStats2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,weight,"""dummyWeight_CSVCErr1up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr1Up)*DOWEIGHTS""","""dummyWeight_CSVCErr1down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr1Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,weight,"""dummyWeight_CSVCErr2up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr2Up)*DOWEIGHTS""","""dummyWeight_CSVCErr2down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*internalCSVweight_CSVCErr2Down)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tt2b_glusplit,shape,weight,"""dummyWeight_CMS_ttHbb_tt2bAcceptanceup:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(1+(GenEvt_I_TTPlusBB==2)*0.5))*DOWEIGHTS""","""dummyWeight_CMS_ttHbb_tt2bAcceptance:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(1-(GenEvt_I_TTPlusBB==2)*0.5))*DOWEIGHTS""",1,-,-,1,1,-,,,,,,,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
bgnorm_ttbb,lnN,rate,-,-,-,-,-,x,x,-,,,,,,,-,-,-,-
bgnorm_ttcc,lnN,rate,-,-,-,-,-,-,-,x,,,,,,,-,-,-,-
pileup,shape,weight,"""dummyweight_PUUp:=(PUWEIGHTUP*LEPTONSFS*TRIGGERSFS)*DOWEIGHTS""","""dummyweight_PUDown:=(PUWEIGHTDOWN*LEPTONSFS*TRIGGERSFS)*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_PDF,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,Weight_LHA_306000_up)*internalNormFactor_weight_LHA_306000_up*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_NNPDF_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,Weight_LHA_306000_down)*internalNormFactor_weight_LHA_306000_down*1.0*DOWEIGHTS""",1,-,1,-,1,1,,,,,,,-,-,-,-
#CMS_ttHbb_PDF_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_ttbbNLO_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,Weight_LHA_320900_up)*internalNormFactor_weight_LHA_320900_up*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_NNPDF_ttbbNLO_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,Weight_LHA_320900_down)*internalNormFactor_weight_LHA_320900_down*1.0*DOWEIGHTS""",1,-,-,1,-,-,,,,,,,-,-,-,-
scaleMuF_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttbbNLO_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttbbNLO_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTBB)*1.0*DOWEIGHTS""",1,-,-,1,-,-,,,,,,,-,-,-,-
scaleMuR_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttbbNLO_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttbbNLO_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTBB)*1.0*DOWEIGHTS""",1,-,-,1,-,-,,,,,,,-,-,-,-
scaleMuF_ttbar,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttbar_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttbar_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,1,-,1,1,,,,,,,-,-,-,-
scaleMuR_ttbar,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttbar_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttbar_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,1,-,1,1,,,,,,,-,-,-,-
scaleMuF_ttH,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttH_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttH_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTNONBB)*1.0*DOWEIGHTS""",1,1,,-,,,,,,,,,1,1,1,1
scaleMuR_ttH,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttH_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttH_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTNONBB)*1.0*DOWEIGHTS""",1,1,,-,,,1,,,,,,1,1,1,1
scaleMuF_ttZ,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttZ_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttZ_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,,-,,1,1,1,1,1,1,1,-,-,-,-
scaleMuR_ttZ,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttZ_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttZ_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,,-,,1,1,1,1,1,1,1,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,
ISR_ttH,shape,weight,"""weight_ISR_ttH_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttH_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,1,,,,,,,,,,,1,1,1,1
ISR_ttZ,shape,weight,"""weight_ISR_ttZ_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttZ_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,,,,,,1,1,1,1,1,1,,,,
ISR_ttbb,shape,weight,"""weight_ISR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTBB))*DOWEIGHTS""","""weight_ISR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTBB))*DOWEIGHTS""",1,,,1,1,,,,,,,,,,,
ISR_ttcc,shape,weight,"""weight_ISR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTCC))*DOWEIGHTS""","""weight_ISR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTCC))*DOWEIGHTS""",1,,,,,1,,,,,,,,,,
ISR_ttlf,shape,weight,"""weight_ISR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTLF))*DOWEIGHTS""","""weight_ISR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTLF))*DOWEIGHTS""",1,,1,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
FSR_ttH,shape,weight,"""weight_FSR_ttH_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttH_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,1,,,,,,,,,,,1,1,1,1
FSR_ttZ,shape,weight,"""weight_FSR_ttz_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttZ_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,1,1,1,1,1,1,,,,
FSR_ttbb,shape,weight,"""weight_FSR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTBB))*DOWEIGHTS""","""weight_FSR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTBB))*DOWEIGHTS""",1,,,1,1,,,,,,,,,,,
FSR_ttcc,shape,weight,"""weight_FSR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTCC))*DOWEIGHTS""","""weight_FSR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTCC))*DOWEIGHTS""",1,,,,,1,,,,,,,,,,
FSR_ttlf,shape,weight,"""weight_FSR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTLF))*DOWEIGHTS""","""weight_FSR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTLF))*DOWEIGHTS""",1,,1,,,,,,,,,,,,,
